average_rating,brand,category,id,name,price,primary_category,sold,total_rating,url
4.8,Choi Kwanghuyn,Nhà Sách Tiki,49747008,Hai Mặt Của Gia Đình,66900,Sách tiếng Việt,5000+,1886,https://tiki.vn/hai-mat-cua-gia-dinh-p49747007.html?
5.0,Napoleon Hill,Nhà Sách Tiki,54266568,Sách Nghĩ Giàu Và Làm Giàu (Bìa Mềm),75500,Sách tiếng Việt,5000+,1786,https://tiki.vn/sach-nghi-giau-va-lam-giau-bia-mem-p54266567.html?
5.0,Lê Thu Hà,Nhà Sách Tiki,161310104,Từ Vựng IELTS 8.0 - Từ Vựng Đắt Để Đạt Điểm Cao 4 Kỹ Năng,85000,Sách tiếng Việt,3931,507,https://tiki.vn/tu-vung-ielts-8-0-tu-vung-dat-de-dat-diem-cao-4-ky-nang-p161310103.html?
5.0,Antoine De Saint-Exupéry,Nhà Sách Tiki,15267828,Hoàng Tử Bé (Tái Bản 2019),57700,Sách tiếng Việt,5000+,3440,https://tiki.vn/hoang-tu-be-tai-ban-2019-p15267827.html?
4.8,Thảo Thảo,Nhà Sách Tiki,76388963,"Chúng Ta Rồi Sẽ Hạnh Phúc, Theo Những Cách Khác Nhau [Tặng Kèm: 01 Bookmark]",56900,Sách tiếng Việt,5000+,1844,https://tiki.vn/chung-ta-roi-se-hanh-phuc-theo-nhung-cach-khac-nhau-tang-kem-01-bookmark-p76388962.html?
4.7,Shannon Thomas,Nhà Sách Tiki,168373801,Sách - Thao túng tâm lý - 1980BOOKS,109000,Sách tiếng Việt,1415,151,https://tiki.vn/sach-thao-tung-tam-ly-1980books-p168373800.html?
5.0, Song Hong Bing,Nhà Sách Tiki,187338037,Chiến Tranh Tiền Tệ - Tập 4,128000,Sách tiếng Việt,2015,246,https://tiki.vn/chien-tranh-tien-te-tap-4-p187338036.html?
5.0,Thích Nhất Hạnh,Nhà Sách Tiki,53720979,"Trong Cái Không Có Gì Không ? (Thiền Sư Thích Nhất Hạnh Trả Lời Cho Trẻ Em Những Thắc Mắc Về Ý Nghĩa Cuộc Sống, Về Cái Chết, Về Gia Đình, Bạn Bè Và Nhiều Câu Hỏi Khác)",126000,Sách tiếng Việt,4418,468,https://tiki.vn/trong-cai-khong-co-gi-khong-thien-su-thich-nhat-hanh-tra-loi-cho-tre-em-nhung-thac-mac-ve-y-nghia-cuoc-song-ve-cai-chet-ve-gia-dinh-ban-be-va-nhieu-cau-hoi-khac-p53720978.html?
5.0,Osamu Tezuka,Nhà Sách Tiki,195801688,Black Jack - Tập 13 (Bìa Mềm),27100,Sách tiếng Việt,1004,121,https://tiki.vn/black-jack-tap-13-bia-mem-p195801686.html?
5.0,Osho,Nhà Sách Tiki,75307229,Sách OSHO Yêu - Being In Love - Yêu Trong Tỉnh Thức,118000,Sách tiếng Việt,5000+,2089,https://tiki.vn/sach-osho-yeu-being-in-love-yeu-trong-tinh-thuc-p75307228.html?
4.8,Tomohito Oda,Nhà Sách Tiki,197558908,Komi - Nữ Thần Sợ Giao Tiếp - Tập 13,23400,Sách tiếng Việt,506,98,https://tiki.vn/komi-nu-than-so-giao-tiep-tap-13-p197558905.html?
5.0,GEORGE SAMUEL CLASON,Nhà Sách Tiki,57325188,Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),68500,Sách tiếng Việt,5000+,2474,https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?
4.8,Nhà tâm thần học DaiGo,Nhà Sách Tiki,77774626,"Nghệ Thuật Tập Trung - Nâng Cao Năng Suất, Tối Ưu Thời Gian, Hiệu Quả Bất Ngờ",64900,Sách tiếng Việt,5000+,1757,https://tiki.vn/nghe-thuat-tap-trung-nang-cao-nang-suat-toi-uu-thoi-gian-hieu-qua-bat-ngo-p77774625.html?
5.0,Luis Sepulveda,Nhà Sách Tiki,19792257,Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019),36700,Sách tiếng Việt,5000+,2750,https://tiki.vn/chuyen-con-meo-day-hai-au-bay-tai-ban-2019-p19792256.html?
